Symbol,Interval,System,Entry,EntryDate,EntryTime,EntryPrice,Target1,Target2,Target3,StopLoss,ExitDate,ExitTime,Target1Exit,Target2Exit,Target3Exit,MAE,XPrice,APrice
EURCHF,60,CYPHER,SHORT,26/11/2015,17:00:00,1.08796,1.08529,1.08363994,1.082464884,1.091182,27/11/2015,10:00:00,1.08529,1.08796,1.08796,1.08796,1.08987,1.08331
EURCHF,60,CYPHER,LONG,04/12/2015,20:00:00,1.08483,1.08735,1.08890736,1.090016402,1.081824,07/12/2015,21:00:00,1.08182,1.08182,1.08182,1.08182,1.08304,1.08912
EURCHF,60,BAT,LONG,08/12/2015,13:00:00,1.08086,1.0858,1.08885292,1.091026994,1.076282,10/12/2015,12:00:00,1.08391,1.08086,1.08086,1.08002,1.0792,1.09379
EURCHF,60,BAT,LONG,16/12/2015,16:00:00,1.07747,1.0801,1.08172534,1.082882792,1.075024,16/12/2015,21:00:00,1.07909,1.08173,1.07909,1.07593,1.07658,1.08436
EURCHF,60,CYPHER,SHORT,21/12/2015,09:00:00,1.08081,1.07879,1.07754164,1.076652646,1.083252,22/12/2015,09:00:00,1.07956,1.08081,1.08081,1.08183,1.08225,1.07724
EURCHF,60,CYPHER,SHORT,04/01/2016,12:00:00,1.08988,1.08439,1.08099718,1.078581053,1.096544,07/01/2016,10:00:00,1.08439,1.08988,1.08988,1.08988,1.09379,1.08002
EURCHF,60,GARTLEY,SHORT,13/01/2016,11:00:00,1.08992,1.08713,1.08540578,1.084177912,1.091442,13/01/2016,14:00:00,1.09144,1.09144,1.09144,1.09144,1.08997,1.08261
EURCHF,60,CYPHER,LONG,05/02/2016,11:00:00,1.10869,1.11294,1.1155665,1.117436908,1.103626,08/02/2016,16:00:00,1.10363,1.10363,1.10363,1.10363,1.10566,1.11583
EURCHF,60,CYPHER,LONG,23/02/2016,07:00:00,1.09847,1.10135,1.10312984,1.104397316,1.095078,23/02/2016,07:00:00,1.09508,1.09508,1.09508,1.09508,1.09642,1.10313
EURCHF,60,BAT,LONG,29/02/2016,16:00:00,1.08736,1.09017,1.09190658,1.09314325,1.08475,29/02/2016,16:00:00,1.08475,1.08475,1.08475,1.08475,1.08641,1.09471
